station,lon,lat,disp,year,Amplitude,Peak_DoY,Min_DoY,Time_MintoPeak
DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,2017,12.17609011689302,49,138,89
DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,2018,8.266155932601412,31,185,154
DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,2019,15.711695707415934,249,146,103
DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,2020,11.911649130145388,289,140,149
DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,2021,10.879460914552674,1,127,126
DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,2022,11.11358355682362,278,163,115
DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,2023,12.803693316132186,8,166,158
DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,2024,10.963039651016118,58,163,105
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2007,8.655363735484316,70,156,86
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2008,12.036120931882024,289,107,182
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2009,8.960501202474845,323,173,150
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2010,13.101364674842834,303,134,169
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2012,14.11216636784512,272,156,116
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2013,9.356471040275743,309,177,132
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2014,12.68561206309035,247,166,81
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2015,18.142989026757416,24,164,140
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2016,13.758896542584989,251,125,126
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2018,10.22900281855527,33,155,122
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2019,15.953668057013218,335,133,202
QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,2020,15.045459188221539,264,165,99
